City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bowen,AU,2020-01-04 05:13:34,-20.01,148.25,86.0,51,100,14.99
1,Arys,KZ,2020-01-04 05:13:34,42.43,68.8,37.4,100,90,4.47
2,Hermanus,ZA,2020-01-04 05:13:34,-34.42,19.24,69.01,84,0,5.01
3,Constitucion,MX,2020-01-04 05:13:34,23.99,-104.67,41.0,61,0,3.85
4,Magistralnyy,RU,2020-01-04 05:13:35,56.17,107.45,23.76,87,100,6.15
5,Nhulunbuy,AU,2020-01-04 05:13:35,-12.18,136.78,93.2,46,96,10.29
6,Ushuaia,AR,2020-01-04 05:10:52,-54.81,-68.31,48.2,66,75,9.17
7,Vila Velha,BR,2020-01-04 05:13:35,-3.71,-38.6,86.0,78,40,5.82
8,Galesong,ID,2020-01-04 05:13:36,-5.32,119.37,86.0,79,20,10.29
9,Hithadhoo,MV,2020-01-04 05:11:28,-0.6,73.08,83.1,68,30,3.76
10,Nikolskoye,RU,2020-01-04 05:11:32,59.7,30.79,33.01,74,68,6.71
11,Avarua,CK,2020-01-04 05:11:51,-21.21,-159.78,78.8,78,16,13.87
12,Saint-Philippe,CA,2020-01-04 05:11:27,45.36,-73.48,39.2,93,90,3.87
13,Soyo,AO,2020-01-04 05:13:37,-6.13,12.37,77.88,89,100,3.85
14,Petropavlovsk-Kamchatskiy,RU,2020-01-04 05:11:32,53.05,158.65,14.0,85,40,4.47
15,Havoysund,NO,2020-01-04 05:13:37,71.0,24.66,33.8,82,75,9.17
16,Bosaso,SO,2020-01-04 05:13:37,11.28,49.18,77.0,78,40,8.68
17,Lucapa,AO,2020-01-04 05:13:38,-8.42,20.74,68.43,96,100,2.08
18,Ancud,CL,2020-01-04 05:11:16,-41.87,-73.83,48.2,70,0,11.41
19,Bethel,US,2020-01-04 05:11:31,60.79,-161.76,-9.4,76,1,10.29
20,Te Anau,NZ,2020-01-04 05:11:33,-45.41,167.72,55.06,60,93,4.27
21,Kahului,US,2020-01-04 05:07:10,20.89,-156.47,73.4,83,40,12.75
22,Aksehir,TR,2020-01-04 05:13:39,38.36,31.42,32.2,76,50,3.09
23,Eyl,SO,2020-01-04 05:13:39,7.98,49.82,78.53,76,97,19.39
24,Mar Del Plata,AR,2020-01-04 05:11:11,-46.43,-67.52,59.85,41,6,13.65
25,Sobolevo,RU,2020-01-04 05:13:39,54.43,31.9,32.23,93,93,13.62
26,Port Hedland,AU,2020-01-04 05:13:40,-20.31,118.58,93.2,49,90,14.99
27,Albany,US,2020-01-04 05:06:07,42.65,-73.75,42.01,86,90,1.34
28,Puerto Ayora,EC,2020-01-04 05:10:55,-0.74,-90.35,75.0,83,37,1.01
29,Georgetown,GY,2020-01-04 05:10:47,6.8,-58.16,73.4,94,100,4.7
30,Balikpapan,ID,2020-01-04 05:10:47,-1.24,116.86,90.09,55,41,4.18
31,Kapaa,US,2020-01-04 05:11:21,22.08,-159.32,78.8,73,20,20.8
32,Kloulklubed,PW,2020-01-04 05:12:05,7.04,134.26,84.2,70,90,11.41
33,Puerto Cabezas,NI,2020-01-04 05:13:41,14.04,-83.39,73.31,93,9,1.52
34,Lahan,NP,2020-01-04 05:13:41,26.71,86.48,69.67,55,32,5.55
35,Miri,NG,2020-01-04 05:13:42,10.31,9.75,49.15,43,0,4.03
36,Colac,AU,2020-01-04 05:13:42,-38.34,143.59,71.01,82,62,3.0
37,Bikin,RU,2020-01-04 05:13:42,46.82,134.25,0.14,90,29,3.47
38,Comodoro Rivadavia,AR,2020-01-04 05:09:49,-45.87,-67.48,66.2,25,13,12.75
39,Punta Arenas,CL,2020-01-04 05:10:48,-53.16,-70.91,48.2,61,98,9.17
40,Upernavik,GL,2020-01-04 05:11:52,72.79,-56.15,-18.78,98,100,16.93
41,Naryan-Mar,RU,2020-01-04 05:13:43,67.67,53.09,34.02,96,100,22.5
42,Lebu,ET,2020-01-04 05:10:53,8.96,38.73,57.2,62,20,6.93
43,Westport,US,2020-01-04 05:08:03,41.14,-73.36,48.0,93,90,3.31
44,Stromness,CA,2020-01-04 05:13:44,42.87,-79.55,41.0,93,90,6.93
45,Hobart,AU,2020-01-04 05:09:19,-42.88,147.33,69.8,26,75,21.92
