City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Descrption,Rain inches (last 3 hours),Snow inches (last 3 hours)
0,Hithadhoo,MV,2020-01-04 20:50:47,-0.6,73.08,83.03,68,99,4.38,overcast clouds,0.0,0.0
1,Khatanga,RU,2020-01-04 21:02:45,71.98,102.47,-18.11,85,0,8.79,clear sky,0.0,0.0
2,Malyn,UA,2020-01-04 21:03:00,50.77,29.25,35.6,93,100,6.71,overcast clouds,0.0,0.0
3,Lovington,US,2020-01-04 21:03:00,32.94,-103.35,61.0,22,5,10.29,clear sky,0.0,0.0
4,Talnakh,RU,2020-01-04 21:03:00,69.49,88.39,-2.2,84,100,20.13,overcast clouds,0.0,0.0
5,Barrow,AR,2020-01-04 21:03:01,-38.31,-60.23,77.27,55,75,18.05,broken clouds,0.0,0.0
6,Albany,US,2020-01-04 21:03:01,42.65,-73.75,42.01,86,90,10.29,light intensity drizzle,0.0,0.0
7,Tuatapere,NZ,2020-01-04 20:50:09,-46.13,167.69,54.0,87,100,14.0,light rain,2.38,0.0
8,Mataura,NZ,2020-01-04 20:52:19,-46.19,168.86,54.0,87,98,14.0,overcast clouds,0.0,0.0
9,Ushuaia,AR,2020-01-04 21:01:12,-54.81,-68.31,59.0,38,40,5.82,scattered clouds,0.0,0.0
10,Clyde River,CA,2020-01-04 20:58:45,70.47,-68.59,-25.6,74,75,16.11,mist,0.0,0.0
11,Skibbereen,IE,2020-01-04 21:03:02,51.55,-9.27,46.4,93,75,12.75,broken clouds,0.0,0.0
12,Clarksburg,US,2020-01-04 20:53:18,39.24,-77.28,59.0,87,90,13.87,heavy intensity rain,0.0,0.0
13,Torbay,CA,2020-01-04 20:50:33,47.66,-52.73,34.0,98,90,12.75,light rain,0.0,0.0
14,Busselton,AU,2020-01-04 21:03:03,-33.64,115.35,57.99,42,0,10.63,clear sky,0.0,0.0
15,Punta Arenas,CL,2020-01-04 21:03:03,-53.16,-70.91,57.2,47,40,16.11,scattered clouds,0.0,0.0
16,Kaberamaido,UG,2020-01-04 21:03:03,1.76,33.16,72.18,54,33,2.91,scattered clouds,0.0,0.0
17,Kodiak,US,2020-01-04 20:52:31,39.95,-94.76,46.0,41,1,12.75,clear sky,0.0,0.0
18,Faanui,PF,2020-01-04 20:52:27,-16.48,-151.75,81.45,77,100,12.1,overcast clouds,0.0,0.0
19,Kroonstad,ZA,2020-01-04 20:53:20,-27.65,27.24,64.0,85,96,10.0,overcast clouds,0.0,0.0
20,Severo-Kurilsk,RU,2020-01-04 20:53:20,50.68,156.12,14.34,73,100,3.11,overcast clouds,0.0,0.0
21,Spartanburg,US,2020-01-04 20:49:06,34.95,-81.93,62.6,38,1,13.87,clear sky,0.0,0.0
22,Jhusi,IN,2020-01-04 20:53:20,25.43,81.91,56.68,77,66,5.19,broken clouds,0.0,0.0
23,Port Augusta,AU,2020-01-04 20:53:21,-32.49,137.76,57.0,71,100,1.01,overcast clouds,0.0,0.0
24,Evensk,RU,2020-01-04 20:53:21,61.92,159.24,8.55,50,66,8.12,broken clouds,0.0,0.0
25,Vardo,US,2020-01-04 20:52:48,39.62,-77.74,55.4,62,90,17.22,light rain,0.0,0.0
26,Ostersund,SE,2020-01-04 20:53:21,63.18,14.64,28.99,79,18,18.34,few clouds,0.0,0.0
27,Bredasdorp,ZA,2020-01-04 20:53:22,-34.53,20.04,66.2,68,25,5.82,scattered clouds,0.0,0.0
28,Kapaa,US,2020-01-04 20:53:22,22.08,-159.32,77.0,83,90,20.8,overcast clouds,0.0,0.0
29,Puerto Ayora,EC,2020-01-04 20:53:22,-0.74,-90.35,86.0,58,20,6.93,few clouds,0.0,0.0
30,Kavieng,PG,2020-01-04 20:53:22,-2.57,150.8,83.77,77,100,12.12,moderate rain,4.88,0.0
31,Padang,ID,2020-01-04 20:50:39,-0.92,100.36,68.68,92,100,5.53,overcast clouds,0.0,0.0
32,Liuzhou,CN,2020-01-04 20:53:23,24.32,109.41,57.45,75,84,1.57,broken clouds,0.0,0.0
33,Salalah,OM,2020-01-04 20:53:23,17.01,54.1,77.0,73,40,9.17,scattered clouds,0.0,0.0
34,Vaini,IN,2020-01-04 20:53:23,15.34,74.49,59.25,75,0,1.34,clear sky,0.0,0.0
35,Leca Da Palmeira,PT,2020-01-04 20:53:23,41.19,-8.7,51.01,76,0,6.93,clear sky,0.0,0.0
36,Mirabad,IR,2020-01-04 20:50:35,28.27,61.33,54.34,75,96,19.86,overcast clouds,0.0,0.0
37,Codrington,AU,2020-01-04 20:53:24,-28.95,153.24,73.4,93,0,5.82,clear sky,0.0,0.0
38,Klaksvik,FO,2020-01-04 20:50:23,62.23,-6.59,46.4,93,100,20.8,light rain,0.0,0.0
39,Atuona,PF,2020-01-04 20:50:15,-9.8,-139.03,81.55,68,5,9.24,clear sky,0.0,0.0
40,Saiki,JP,2020-01-04 20:53:24,32.95,131.89,50.0,63,89,20.11,overcast clouds,0.0,0.0
41,Alofi,NU,2020-01-04 20:50:43,-19.06,-169.92,82.4,74,40,9.17,scattered clouds,0.0,0.0
42,Haines Junction,CA,2020-01-04 20:52:26,60.75,-137.51,-8.25,97,100,3.31,overcast clouds,0.0,0.0
43,New Norfolk,AU,2020-01-04 20:53:25,-42.78,147.06,55.99,43,75,6.93,broken clouds,0.0,0.0
44,Bandarbeyla,SO,2020-01-04 20:53:25,9.49,50.81,77.4,80,57,14.81,broken clouds,0.0,0.0
45,Mount Gambier,AU,2020-01-04 20:50:30,-37.83,140.78,55.4,71,100,6.93,overcast clouds,0.0,0.0
46,Hilo,US,2020-01-04 20:53:26,19.71,-155.08,80.6,69,90,4.7,overcast clouds,0.0,0.0
47,Svetlaya,RU,2020-01-04 20:53:26,46.54,138.33,11.73,57,0,11.45,clear sky,0.0,0.0
48,Cape Town,ZA,2020-01-04 20:53:26,-33.93,18.42,68.0,77,29,5.82,scattered clouds,0.0,0.0
49,Yulara,AU,2020-01-04 20:53:26,-25.24,130.99,62.6,100,75,8.05,broken clouds,0.0,0.0
50,San Patricio,PY,2020-01-04 20:52:45,-26.98,-56.83,90.84,31,0,3.33,clear sky,0.0,0.0
51,Rikitea,PF,2020-01-04 20:50:05,-23.12,-134.97,77.2,77,67,16.6,broken clouds,0.0,0.0
52,Esmeralda,CL,2020-01-04 20:53:27,-34.33,-70.9,89.6,25,0,12.75,clear sky,0.0,0.0
53,Marawi,PH,2020-01-04 20:53:27,8.0,124.29,71.01,89,8,5.01,clear sky,0.0,0.0
54,Pevek,RU,2020-01-04 20:52:33,69.7,170.27,-5.69,64,0,2.66,clear sky,0.0,0.0
55,East London,ZA,2020-01-04 20:50:22,-33.02,27.91,76.12,93,48,11.74,scattered clouds,0.0,0.0
56,Leningradskiy,RU,2020-01-04 20:50:57,69.38,178.42,-9.0,62,34,1.07,scattered clouds,0.0,0.0
57,Avarua,CK,2020-01-04 20:50:02,-21.21,-159.78,82.4,83,1,5.82,clear sky,0.0,0.0
58,Hobart,AU,2020-01-04 20:52:17,-42.88,147.33,55.99,43,75,6.93,broken clouds,0.0,0.0
59,Yellowknife,CA,2020-01-04 20:49:58,62.45,-114.38,5.0,84,90,16.11,light snow,0.0,0.0
60,Tuktoyaktuk,CA,2020-01-04 20:53:29,69.44,-133.03,-23.8,67,40,10.29,scattered clouds,0.0,0.0
61,Castro,CL,2020-01-04 20:50:06,-42.48,-73.76,60.8,63,0,9.17,clear sky,0.0,0.0
62,Hermanus,ZA,2020-01-04 20:52:01,-34.42,19.24,64.99,86,5,14.25,clear sky,0.0,0.0
63,Gorontalo,ID,2020-01-04 20:51:00,0.54,123.06,73.81,94,100,4.65,overcast clouds,0.0,0.0
64,Karratha,AU,2020-01-04 20:53:29,-20.74,116.85,83.57,73,100,17.98,light rain,1.0,0.0
65,Astorga,BR,2020-01-04 20:53:30,-23.24,-51.66,86.0,65,40,9.17,scattered clouds,0.0,0.0
66,Mbanza-Ngungu,CD,2020-01-04 20:53:30,-5.25,14.87,70.21,96,100,1.77,overcast clouds,0.0,0.0
67,Meulaboh,ID,2020-01-04 20:53:30,4.14,96.13,81.25,78,19,7.4,light rain,2.31,0.0
68,Kon Tum,VN,2020-01-04 20:53:31,14.36,108.0,55.35,94,98,3.09,overcast clouds,0.0,0.0
69,Chabahar,IR,2020-01-04 20:53:31,25.29,60.65,70.21,78,1,3.38,clear sky,0.0,0.0
70,Coihaique,CL,2020-01-04 20:50:07,-45.58,-72.07,62.6,42,75,9.17,broken clouds,0.0,0.0
71,Nome,US,2020-01-04 20:53:31,30.04,-94.42,69.01,32,1,10.29,clear sky,0.0,0.0
72,Stuttgart,DE,2020-01-04 20:52:04,48.78,9.18,43.0,93,75,8.05,broken clouds,0.0,0.0
73,Butaritari,KI,2020-01-04 20:53:32,3.07,172.79,84.61,78,38,15.12,scattered clouds,0.0,0.0
74,Liwale,TZ,2020-01-04 20:53:32,-9.8,37.92,71.37,95,100,2.26,overcast clouds,0.0,0.0
75,Coruripe,BR,2020-01-04 20:53:32,-10.12,-36.18,79.43,80,65,15.19,broken clouds,0.0,0.0
76,Ilulissat,GL,2020-01-04 20:53:32,69.22,-51.1,10.4,72,75,11.41,broken clouds,0.0,0.0
77,Maceio,BR,2020-01-04 20:53:32,-9.67,-35.74,84.2,62,90,16.11,overcast clouds,0.0,0.0
