City_ID,City,Country,Max Temp,Lat,Lng,Current Descrption,Hotel Name
0,Hithadhoo,MV,83.03,-0.6,73.08,overcast clouds,Scoop Guest House
3,Lovington,US,61.0,32.94,-103.35,clear sky,Buena vida rv parks
5,Barrow,AR,77.27,-38.31,-60.23,broken clouds,
16,Kaberamaido,UG,72.18,1.76,33.16,scattered clouds,"Little Orchard, Kaberamaido"
18,Faanui,PF,81.45,-16.48,-151.75,overcast clouds,Bora-Bora Pearl Beach Resort & Spa
19,Kroonstad,ZA,64.0,-27.65,27.24,overcast clouds,Travel Inn Kroonstad
21,Spartanburg,US,62.6,34.95,-81.93,clear sky,Spartanburg Marriott
27,Bredasdorp,ZA,66.2,-34.53,20.04,scattered clouds,Bredasdorp Country Manor
28,Kapaa,US,77.0,22.08,-159.32,overcast clouds,Sheraton Kauai Coconut Beach Resort
29,Puerto Ayora,EC,86.0,-0.74,-90.35,few clouds,Finch Bay Galapagos Hotel
31,Padang,ID,68.68,-0.92,100.36,overcast clouds,Mercure Padang
33,Salalah,OM,77.0,17.01,54.1,scattered clouds,HAMDAN PLAZA HOTEL
37,Codrington,AU,73.4,-28.95,153.24,clear sky,
39,Atuona,PF,81.55,-9.8,-139.03,clear sky,Villa Enata
41,Alofi,NU,82.4,-19.06,-169.92,scattered clouds,Taloa Heights
44,Bandarbeyla,SO,77.4,9.49,50.81,broken clouds,REER XOOSHLE GROUP
46,Hilo,US,80.6,19.71,-155.08,overcast clouds,Hilo Seaside Hotel
48,Cape Town,ZA,68.0,-33.93,18.42,scattered clouds,Southern Sun Waterfront Cape Town
49,Yulara,AU,62.6,-25.24,130.99,broken clouds,Desert Gardens Hotel - Ayers Rock Resort
51,Rikitea,PF,77.2,-23.12,-134.97,broken clouds,Pension Maro'i
52,Esmeralda,CL,89.6,-34.33,-70.9,clear sky,Loteo el delirio
53,Marawi,PH,71.01,8.0,124.29,clear sky,Derogongan Residence
55,East London,ZA,76.12,-33.02,27.91,scattered clouds,Tu Casa
57,Avarua,CK,82.4,-21.21,-159.78,clear sky,Paradise Inn
61,Castro,CL,60.8,-42.48,-73.76,clear sky,Hotel Esmeralda
62,Hermanus,ZA,64.99,-34.42,19.24,clear sky,Misty Waves Boutique Hotel
63,Gorontalo,ID,73.81,0.54,123.06,overcast clouds,Maqna Hotel by Prasanthi
65,Astorga,BR,86.0,-23.24,-51.66,scattered clouds,PetJhou&PetHotel
66,Mbanza-Ngungu,CD,70.21,-5.25,14.87,overcast clouds,Hotel Full Business
69,Chabahar,IR,70.21,25.29,60.65,clear sky,هتل گدروشیا
70,Coihaique,CL,62.6,-45.58,-72.07,broken clouds,Diego De Almagro Coyhaique
71,Nome,US,69.01,30.04,-94.42,clear sky,Silver Spur Mobile Home & RV Park
73,Butaritari,KI,84.61,3.07,172.79,scattered clouds,Isles Sunset Lodge
74,Liwale,TZ,71.37,-9.8,37.92,overcast clouds,Samoma Lodge
75,Coruripe,BR,79.43,-10.12,-36.18,broken clouds,Pousada e Hotel Litoral Sul
77,Maceio,BR,84.2,-9.67,-35.74,overcast clouds,Mercure Maceio Pajucara Hotel
80,Gisborne,NZ,64.0,-38.66,178.02,clear sky,ASURE Alfresco Motor Lodge
82,Arraial Do Cabo,BR,77.0,-22.97,-42.02,light rain,Pousada Porto Praia
83,Coquimbo,CL,64.4,-29.95,-71.34,scattered clouds,Hotel San Juan
86,Negombo,LK,77.0,7.21,79.83,scattered clouds,Hotel Sunset Beach
89,Cam Ranh,VN,77.0,11.92,109.15,scattered clouds,OYO 598 Peony Hotel
94,Georgetown,GY,86.0,6.8,-58.16,few clouds,Kanhai's Center
95,Muriti,TZ,71.6,-1.99,32.93,few clouds,
97,Bluff,AU,72.23,-23.58,149.07,broken clouds,Bluff Hotel
100,Gold Coast,AU,75.99,-28.0,153.41,clear sky,Mantra Towers of Chevron Surfers Paradise
109,Cabo San Lucas,MX,80.01,22.89,-109.91,clear sky,Hotel Tesoro Los Cabos
112,Port Alfred,ZA,71.01,-33.59,26.89,overcast clouds,The Halyards Hotel
113,Victoria,BN,80.6,5.28,115.24,broken clouds,Tiara Labuan Hotel
114,Dayong,CN,60.8,25.02,118.29,broken clouds,Haiyue Express Hotel
116,Bitung,ID,73.4,1.44,125.19,scattered clouds,K2 Lembeh
120,Eydhafushi,MV,81.77,5.1,73.07,overcast clouds,Soneva Fushi
125,Mar Del Plata,AR,64.15,-46.43,-67.52,few clouds,Hotel Costanera Del Sur
127,Grand Gaube,MU,78.01,-20.01,57.66,broken clouds,Veranda Paul et Virginie Hotel & Spa
129,Bambous Virieux,MU,78.01,-20.34,57.76,broken clouds,Casa Tia Villa
131,Bowen,AU,75.99,-20.01,148.25,broken clouds,Rose Bay Resort
133,Acapulco,MX,86.0,16.86,-99.88,scattered clouds,Crowne Plaza Acapulco
140,Paramonga,PE,69.85,-10.68,-77.82,broken clouds,HOSTAL PATIVILCA
145,Taltal,CL,64.49,-25.41,-70.49,clear sky,Residencial Karime
146,Airai,TL,69.01,-8.93,125.41,overcast clouds,Juvinal Martin
148,Santa Cruz Del Sur,CU,79.79,20.71,-78.0,clear sky,
149,Mecca,SA,65.03,21.43,39.83,overcast clouds,Hotel Fairmont Makkah Clock Royal Tower
155,Maltahohe,,74.71,-24.83,16.98,clear sky,Hotel Maltahöhe
156,Cajamarca,PE,68.0,-7.16,-78.52,broken clouds,Hotel Costa del Sol Cajamarca
159,Tocopilla,CL,68.58,-22.09,-70.2,clear sky,Hotel Galvarino
161,Escarcega,MX,76.1,18.61,-90.75,overcast clouds,Hotel Maria Isabel
162,Tomatlan,MX,86.68,19.93,-105.25,scattered clouds,Norma franco
164,Vila Franca Do Campo,PT,62.6,37.72,-25.43,few clouds,Pestana Bahia Praia
166,Kieta,PG,82.63,-6.22,155.63,clear sky,
167,Madimba,CM,82.4,4.42,9.93,few clouds,
168,Sampit,ID,75.43,-2.54,112.95,overcast clouds,Aquarius Boutique Hotel Sampit
178,Gunjur,GM,75.2,13.18,-16.76,haze,Boboi Beach Lodge
179,Kruisfontein,ZA,68.18,-34.0,24.73,scattered clouds,Oyster Bay House Rental
181,Buchanan,LR,73.4,5.88,-10.05,mist,Kamaneahn Hotel Inc
185,Sao Felix Do Xingu,BR,79.79,-6.64,-51.99,overcast clouds,Apart Hotel Rio Xingu
188,Ixtapa,MX,78.01,20.71,-105.21,broken clouds,Container Inn Puerto Vallarta
194,Luderitz,,62.53,-26.65,15.16,clear sky,LÜDERITZ NEST HOTEL
198,Paso De Los Toros,UY,81.81,-32.81,-56.52,clear sky,Complejo Isabelino
201,Havelock,US,78.8,34.88,-76.9,mist,Holiday Inn Express and Suites Havelock
202,Santa Maria,BR,71.6,-16.02,-48.01,overcast clouds,HOTEL BRASILIA PARK / NOVO GAMA - GO
205,Camapua,BR,85.12,-19.53,-54.04,few clouds,Comercial Estrela
209,Cape Coast,GH,82.08,5.11,-1.24,broken clouds,Samrit Hotel
216,Itarema,BR,80.62,-2.92,-39.92,broken clouds,Windvillage
217,Jaisalmer,IN,60.28,26.91,70.91,clear sky,Hotel Fifu
218,Tamandare,BR,86.32,-8.28,-70.75,overcast clouds,
220,Salinopolis,BR,82.85,-0.61,-47.36,overcast clouds,Hotel Salinópolis
222,Porbandar,IN,70.77,21.64,69.61,clear sky,Lords Inn Porbandar
224,Doka,SD,73.9,13.52,35.76,clear sky,
228,Carnarvon,ZA,72.52,-30.97,22.13,clear sky,Maritza Bed & Breakfast
229,Montes Altos,BR,80.6,-5.83,-47.07,scattered clouds,Montes Altos
236,Flinders,AU,71.01,-34.58,150.85,clear sky,Shellharbour Resort & Conference Centre
237,Phalaborwa,ZA,86.0,-23.95,31.14,clear sky,Bothabelo B&B
243,Antofagasta,CL,72.0,-23.65,-70.4,few clouds,Holiday Inn Express Antofagasta
247,Charters Towers,AU,72.61,-20.07,146.27,clear sky,Cattleman's Rest Motor Inn
248,Tautira,PF,86.0,-17.73,-149.15,scattered clouds,Pension Oaoa
250,Sao Filipe,CV,70.59,14.9,-24.5,scattered clouds,Tortuga B&B
251,Bathsheba,BB,84.2,13.22,-59.52,shower rain,Atlantis Hotel
252,Inhambane,MZ,78.93,-23.87,35.38,few clouds,MHL Turismo SA
